user_no,class_no,user_name,authority,status
20234035,r3a104,佐々木遥,student,valid
20234037,r3a107,山崎健太,student,valid
20234038,r3a228,林葵,student,valid
20234039,r3a209,池田優樹,student,valid
20234040,r3a110,斎藤優奈,student,valid
20234041,r3a214,小林遥,student,valid
20234042,r3a102,斎藤優奈,student,valid
20234043,r3a140,加藤優奈,student,valid
20234044,r3a221,松本結衣,student,valid
20234045,r3a235,木村優奈,student,valid
20234047,r3a128,石川太郎,student,valid
20234048,r3a236,佐藤彩香,student,valid
20234049,r3a217,石川杏奈,student,valid
20234050,r3a135,佐藤杏奈,student,valid
20234051,r3a241,高橋花子,student,valid
20234052,r3a240,山田結衣,student,valid
20234053,r3a139,伊藤陸,student,valid
20234054,r3a219,山本優樹,student,valid
20234055,r3a121,鈴木悠斗,student,valid
20234056,r3a229,山口健太,student,valid
20234057,r3a109,松本葵,student,valid
20234058,r3a133,佐藤健太,student,valid
20234059,r3a203,高橋陸,student,valid
20234060,r3a230,山口杏奈,student,valid
20234061,r3a218,松本海斗,student,valid
20234062,r3a238,清水悠斗,student,valid
20234064,r3a211,橋本陽菜,student,valid
20234065,r3a142,井上太郎,student,valid
20234066,r3a226,木村優奈,student,valid
20234067,r3a210,中島拓也,student,valid
20234068,r3a207,山下美咲,student,valid
20234069,r3a212,渡辺翔太,student,valid
20234070,r3a127,中村直樹,student,valid
20234071,r3a224,山口結衣,student,valid
20234072,r3a130,石川陽菜,student,valid
20234073,r3a115,鈴木彩香,student,valid
20234074,r3a106,木村優樹,student,valid
20234075,r3a118,池田優奈,student,valid
20234076,r3a233,山本葵,student,valid
20234077,r3a120,山口陽菜,student,valid
20234078,r3a205,小林大輔,student,valid
20234079,r3a204,佐藤彩香,student,valid
20234080,r3a202,井上美咲,student,valid
20234081,r3a213,清水遥,student,valid
20234082,r3a108,斎藤花子,student,valid
20234083,r3a242,木村彩香,student,valid
20234084,r3a141,藤田彩香,student,valid
20234085,r3a136,池田悠斗,student,valid
20234086,r3a103,前田優樹,student,valid
20234087,r3a124,松本翔太,student,valid
20234088,r3a117,斎藤美咲,student,valid
20234089,r3a223,井上優奈,student,valid
20234090,r3a126,佐々木陽菜,student,valid
20242001,j2a106,山崎直樹,student,valid
20242002,j1a115,藤田花子,student,valid
20242003,j1a104,井上翔太,student,valid
20242004,j1a118,木村拓也,student,valid
20242005,j1a110,清水葵,student,valid
20242006,j1a105,森葵,student,valid
20242007,j1a109,加藤翔太,student,valid
20242008,j2a111,橋本太郎,student,valid
20242009,j2a113,藤田凛,student,valid
20242011,j1a116,林大輔,student,valid
20242012,j2a112,前田陸,student,valid
20242013,j2a117,高橋凛,student,valid
20242014,j1a103,池田優奈,student,valid
20242015,j1a106,佐藤優奈,student,valid
20242016,j1a108,山崎凛,student,valid
20242017,j2a102,山田悠斗,student,valid
20242018,j2a107,松本悠斗,student,valid
20242019,j2a115,田中海斗,student,valid
20242020,j2a121,伊藤陽菜,student,valid
20242022,j1a114,佐藤彩香,student,valid
20242023,j2a122,吉田大輔,student,valid
20242025,j2a116,林遥,student,valid
20242026,j1a112,松本悠斗,student,valid
20242027,j2a108,木村拓也,student,valid
20242029,j1a119,中島結衣,student,valid
20242030,j2a103,斎藤杏奈,student,valid
20242031,j2a109,中村陸,student,valid
20242032,j2a120,前田拓也,student,valid
20242033,j1a101,山下健太,student,valid
20242034,j2a101,小林拓也,student,valid
20242035,j1a121,山本翔太,student,valid
20242037,j1a102,松本翔太,student,valid
20242038,j2a104,斎藤優奈,student,valid
20242039,j1a113,山崎遥,student,valid
20242040,j2a114,佐藤杏奈,student,valid
20242041,j2a118,藤田太郎,student,valid
20242042,j1a107,前田葵,student,valid
20242043,j2a105,木村健太,student,valid
20242044,j1a117,中島悠斗,student,valid
20242045,j2a119,山崎翔太,student,valid
20242046,j1a122,田中陸,student,valid
20242047,j1a111,井上美咲,student,valid
20242048,j1a120,藤田大輔,student,valid
20242049,j2a110,木村結衣,student,valid
20243001,s2a413,佐々木拓也,student,valid
20243002,s2a113,山田拓也,student,valid
20243003,s2a309,渡辺太郎,student,valid
20243004,s2a311,阿部直樹,student,valid
20243005,s2a104,鈴木大輔,student,valid
20243006,s2a112,山田翔太,student,valid
20243007,s2a108,前田葵,student,valid
20243008,s2a406,前田結衣,student,valid
20243009,s2a310,林優樹,student,valid
20243011,s2a409,藤田優樹,student,valid
20243012,s2a106,橋本大輔,student,valid
20243013,s2a401,山口陸,student,valid
20243014,s2a211,池田大輔,student,valid
20243015,s2a213,橋本直樹,student,valid
20243016,s2a207,佐々木彩香,student,valid
20243017,s2a114,佐々木優樹,student,valid
20243018,s2a304,高橋杏奈,student,valid
20243019,s2a307,山下優奈,student,valid
20243020,s2a313,前田杏奈,student,valid
20243021,s2a305,清水美咲,student,valid
20243022,s2a209,山本遥,student,valid
20243024,s2a210,阿部翔太,student,valid
20243025,s2a212,加藤海斗,student,valid
20243026,s2a308,佐藤拓也,student,valid
20243027,s2a403,加藤拓也,student,valid
20243028,s2a306,斎藤翔太,student,valid
20243029,s2a408,佐藤遥,student,valid
20243030,s2a402,木村悠斗,student,valid
20243031,s2a105,林翔太,student,valid
20243032,s2a109,藤田健太,student,valid
20243033,s2a101,山崎彩香,student,valid
20243034,s2a405,鈴木健太,student,valid
20243035,s2a204,藤田陸,student,valid
20243036,s2a412,藤田悠斗,student,valid
20243037,s2a102,斎藤太郎,student,valid
20243039,s2a407,藤田悠斗,student,valid
20243041,s2a205,高橋美咲,student,valid
20243042,s2a301,藤田遥,student,valid
20243044,s2a214,山本遥,student,valid
20243045,s2a302,山下大輔,student,valid
20243046,s2a107,井上翔太,student,valid
20243047,s2a110,吉田直樹,student,valid
20243048,s2a201,橋本優奈,student,valid
20243049,s2a103,石川優奈,student,valid
20243050,s2a411,田中陸,student,valid
20243051,s2a202,渡辺優樹,student,valid
20243052,s2a410,井上杏奈,student,valid
20243053,s2a203,佐々木大輔,student,valid
20243054,s2a404,林葵,student,valid
20243056,s2a303,吉田拓也,student,valid
20243057,s2a312,井上陽菜,student,valid
20243058,s2a206,橋本陸,student,valid
20243059,s2a111,田中杏奈,student,valid
20243060,s2a208,石川彩香,student,valid
20252001,j1a116,伊藤直樹,student,valid
20252002,j2a105,井上太郎,student,valid
20252003,j1a112,加藤海斗,student,valid
20252006,j2a104,前田陽菜,student,valid
20252008,j2a114,藤田美咲,student,valid
20252009,j2a116,清水優奈,student,valid
20252010,j2a112,阿部陸,student,valid
20252011,j1a119,阿部拓也,student,valid
20252012,j2a113,山田結衣,student,valid
20252013,j1a110,山口悠斗,student,valid
20252014,j2a102,松本遥,student,valid
20252015,j2a107,松本陽菜,student,valid
20252016,j1a120,伊藤悠斗,student,valid
20252017,j1a118,佐々木拓也,student,valid
20252018,j1a114,藤田健太,student,valid
20252019,j1a121,加藤遥,student,valid
20252020,j1a111,石川杏奈,student,valid
20252021,j2a115,伊藤陽菜,student,valid
20252023,j1a109,木村葵,student,valid
20252024,j2a101,清水葵,student,valid
20252025,j1a113,井上美咲,student,valid
20252026,j1a106,松本陽菜,student,valid
20252027,j2a109,中村陸,student,valid
20252028,j2a108,高橋直樹,student,valid
20252029,j2a117,林健太,student,valid
20252030,j1a104,山本悠斗,student,valid
20252031,j1a115,高橋直樹,student,valid
20252032,j1a107,井上花子,student,valid
20252033,j2a110,石川葵,student,valid
20252034,j1a105,伊藤太郎,student,valid
20252035,j1a101,吉田健太,student,valid
20252036,j2a119,山本悠斗,student,valid
20252039,j1a102,田中葵,student,valid
20252040,j1a117,加藤健太,student,valid
20252041,j1a103,渡辺陽菜,student,valid
20252042,j2a120,鈴木優樹,student,valid
20252043,j2a111,佐々木海斗,student,valid
20252044,j2a106,佐々木翔太,student,valid
20252045,j1a108,藤田拓也,student,valid
20252047,j2a103,佐々木葵,student,valid
20252048,j2a121,橋本拓也,student,valid
20252050,j2a118,鈴木陸,student,valid
20252051,r3a211,未行動_2025_01,student,valid
20252052,r3a242,未行動_2025_02,student,valid
20252053,r3a129,未行動_2025_03,student,valid
20252054,r3a223,未行動_2025_04,student,valid
20252055,r3a101,未行動_2025_05,student,valid
20252056,r3a131,未行動_2025_06,student,valid
20252057,r3a122,未行動_2024_01,student,valid
20252058,r3a138,未行動_2023_01,student,valid
20252059,r3a116,未行動_2022_01,student,valid
20252060,r3a244,未行動_2021_01,student,valid
